Travel Queries Forecast Template,,,,,,,,
,,,,,,,,
INSTRUCTIONS:,,,,,,,,
1. This template is designed to forecast travel queries for a market using the multi-factor approach,,,,,,,,
2. Fill in the data in each of the input sheets (Historical Queries, Flight Searches, Media Impressions, Brand Health),,,,,
3. Adjust the parameters in the Parameters sheet if needed,,,,,,,,
4. The forecast will automatically calculate based on the input data and parameters,,,,,,,,
,,,,,,,,
====================,,,,,,,,
HISTORICAL QUERIES,,,,,,,,
====================,,,,,,,,
Month,Year,Indexed Queries,,,,,,
January,2020,37.49527745,,,,,,
January,2021,63.39256198,,,,,,
January,2022,58.91617473,,,,,,
January,2023,89.36245573,,,,,,
January,2024,124.850059,,,,,,
January,2025,124.35,,,,,,
February,2020,58.24025974,,,,,,
February,2021,19.06965762,,,,,,
February,2022,52.88902007,,,,,,
February,2023,73.06965762,,,,,,
February,2024,98.7957497,,,,,,
March,2020,34.24144038,,,,,,
March,2021,19.97107438,,,,,,
March,2022,56.60861865,,,,,,
March,2023,79.48878394,,,,,,
March,2024,99.09031877,,,,,,
April,2020,19.10153483,,,,,,
April,2021,17.73966942,,,,,,
April,2022,44.57438017,,,,,,
April,2023,91.35064935,,,,,,
April,2024,92.3364817,,,,,,
May,2020,19.01416765,,,,,,
May,2021,13.53837072,,,,,,
May,2022,47.89374262,,,,,,
May,2023,76.71605667,,,,,,
May,2024,86.93919717,,,,,,
June,2020,22.09149941,,,,,,
June,2021,12.05785124,,,,,,
June,2022,48.45690673,,,,,,
June,2023,71.75265643,,,,,,
June,2024,82.79988194,,,,,,
July,2020,25.36009445,,,,,,
July,2021,14.28335301,,,,,,
July,2022,58.09090909,,,,,,
July,2023,86.35773318,,,,,,
July,2024,86.15112161,,,,,,
August,2020,26.0188902,,,,,,
August,2021,23.72904368,,,,,,
August,2022,62.14285714,,,,,,
August,2023,86.06965762,,,,,,
August,2024,92.8270366,,,,,,
September,2020,20.12455726,,,,,,
September,2021,38.39846517,,,,,,
September,2022,61.36894923,,,,,,
September,2023,89.66115702,,,,,,
September,2024,99.68063754,,,,,,
October,2020,21.56788666,,,,,,
October,2021,67.26859504,,,,,,
October,2022,81.43624557,,,,,,
October,2023,102.5324675,,,,,,
October,2024,110.8600945,,,,,,
November,2020,25.040732,,,,,,
November,2021,46.79456907,,,,,,
November,2022,75.59504132,,,,,,
November,2023,90.82880756,,,,,,
November,2024,97.24498229,,,,,,
December,2020,32.03364817,,,,,,
December,2021,47.48937426,,,,,,
December,2022,61.76800472,,,,,,
December,2023,91.73376623,,,,,,
December,2024,99.17886659,,,,,,
,,,,,,,,
====================,,,,,,,,
FLIGHT SEARCHES,,,,,,,,
====================,,,,,,,,
Month,Year,Flight Searches,,,,,,
January,2023,10767,,,,,,
January,2024,17665,,,,,,
February,2023,6511,,,,,,
February,2024,13368,,,,,,
March,2023,7372,,,,,,
March,2024,15826,,,,,,
April,2023,6642,,,,,,
April,2024,13953,,,,,,
May,2023,6345,,,,,,
May,2024,17633,,,,,,
June,2023,6479,,,,,,
June,2024,17415,,,,,,
July,2023,9945,,,,,,
July,2024,20346,,,,,,
August,2023,9989,,,,,,
August,2024,15218,,,,,,
September,2023,10744,,,,,,
September,2024,22007,,,,,,
October,2023,11213,,,,,,
October,2024,19997,,,,,,
November,2023,12135,,,,,,
November,2024,12760,,,,,,
December,2023,11526,,,,,,
December,2024,15876,,,,,,
,,,,,,,,
====================,,,,,,,,
MEDIA IMPRESSIONS,,,,,,,,
====================,,,,,,,,
Month,2023 Impressions,2024 Impressions,2025 Planned Impressions,,,,,
January,"39,266,229","39,767,259","65,000,000",,,,,
February,"57,795,441","20,577,624","45,000,000",,,,,
March,"100,046,948","50,003,357","85,000,000",,,,,
April,"25,065,565","109,331,811","130,000,000",,,,,
May,"30,007,835","45,176,614","70,000,000",,,,,
June,"20,505,990","37,914,837","60,000,000",,,,,
July,"20,370,260","56,385,822","80,000,000",,,,,
August,"47,983,271","30,416,431","55,000,000",,,,,
September,"22,843,633","55,798,934","85,000,000",,,,,
October,"35,095,789","111,534,185","140,000,000",,,,,
November,"105,077,019","136,058,361","160,000,000",,,,,
December,"151,167,994","47,304,711","75,000,000",,,,,
,,,,,,,,
====================,,,,,,,,
BRAND HEALTH,,,,,,,,
====================,,,,,,,,
Quarter,Awareness,Consideration,Intent,,,,,
Q4 2023,92.24%,33.36%,20.83%,,,,,
Q1 2024,91.75%,31.43%,19.53%,,,,,
Q2 2024,92.00%,31.71%,20.62%,,,,,
Q3 2024,91.80%,31.30%,20.00%,,,,,
Q4 2024,92.70%,33.09%,22.10%,,,,,
Q1 2025 (Target),92.80%,33.60%,22.40%,,,,,
Q2 2025 (Target),92.80%,33.90%,22.60%,,,,,
Q3 2025 (Target),92.90%,34.20%,22.70%,,,,,
Q4 2025 (Target),93.00%,35.00%,23.20%,,,,,
,,,,,,,,
====================,,,,,,,,
HOTEL GUESTS,,,,,,,,
====================,,,,,,,,
Month,Year,Hotel Guests,,,,,,
January,2023,12304,,,,,,
January,2024,14154,,,,,,
February,2023,13858,,,,,,
February,2024,19770,,,,,,
March,2023,12817,,,,,,
March,2024,16710,,,,,,
April,2023,12797,,,,,,
April,2024,19461,,,,,,
May,2023,11185,,,,,,
May,2024,17258,,,,,,
June,2023,8253,,,,,,
June,2024,12160,,,,,,
July,2023,7009,,,,,,
July,2024,13222,,,,,,
August,2023,9876,,,,,,
August,2024,17891,,,,,,
September,2023,9170,,,,,,
September,2024,14968,,,,,,
October,2023,18296,,,,,,
October,2024,24484,,,,,,
November,2023,17845,,,,,,
November,2024,20531,,,,,,
December,2023,17082,,,,,,
December,2024,28534,,,,,,
,,,,,,,,
====================,,,,,,,,
PARAMETERS,,,,,,,,
====================,,,,,,,,
Parameter,Conservative,Moderate,Ambitious,Notes,,,,
Base Growth Factor,5%,10%,15%,"Base growth rate applied to all months (default: 5%, 10%, 15%)",,,,
Brand Awareness Target,93%,93.5%,94%,"Target brand awareness for Q4 2025 (default: 37%, 38%, 40%)",,,,
Brand Consideration Target,34%,35%,36%,"Target brand consideration for Q4 2025 (default: 24%, 25%, 26%)",,,,
Media Effectiveness Multiplier,0.1,0.15,0.2,"Coefficient for media multiplier calculation (default: 0.10, 0.15, 0.20)",,,,
Flight Search Correlation,0.05,0.1,0.15,"Coefficient for flight search factor calculation (default: 0.05, 0.10, 0.15)",,,,
Brand Health Coefficient,0.15,0.2,0.25,"Coefficient for brand health multiplier calculation (default: 0.15, 0.20, 0.25)",,,,
,,,,,,,,
====================,,,,,,,,
SEASONALITY INDEX,,,,,,,,
====================,,,,,,,,
Month,Seasonality Index,Notes,,,,,,
January,1.25,Derived from 2023-2024 monthly distribution patterns,,,,,,
February,1.05,Derived from 2023-2024 monthly distribution patterns,,,,,,
March,1.10,Derived from 2023-2024 monthly distribution patterns,,,,,,
April,0.95,Derived from 2023-2024 monthly distribution patterns,,,,,,
May,0.90,Derived from 2023-2024 monthly distribution patterns,,,,,,
June,0.85,Derived from 2023-2024 monthly distribution patterns,,,,,,
July,0.88,Derived from 2023-2024 monthly distribution patterns,,,,,,
August,0.92,Derived from 2023-2024 monthly distribution patterns,,,,,,
September,1.05,Derived from 2023-2024 monthly distribution patterns,,,,,,
October,1.15,Derived from 2023-2024 monthly distribution patterns,,,,,,
November,1.00,Derived from 2023-2024 monthly distribution patterns,,,,,,
December,1.10,Derived from 2023-2024 monthly distribution patterns,,,,,,
,,,,,,,,
====================,,,,,,,,
FORECAST CALCULATIONS,,,,,,,,
====================,,,,,,,,
Month,2024 Queries,Seasonality Index,Media Multiplier,Flight Search Factor,Brand Health Multiplier,Conservative Forecast,Moderate Forecast,Ambitious Forecast
January,124.85,1.25,1.05,1.32,1.01,173.82,182.01,190.20
February,98.80,1.05,1.08,1.51,1.01,159.63,167.12,174.61
March,99.09,1.10,1.05,1.46,1.01,158.92,166.37,173.82
April,92.34,0.95,1.02,1.52,1.01,142.66,149.35,156.04
May,86.94,0.90,1.04,1.78,1.01,144.58,151.36,158.14
June,82.80,0.85,1.05,1.69,1.01,123.38,129.15,134.92
July,86.15,0.88,1.04,1.51,1.01,121.05,126.72,132.39
August,92.83,0.92,1.06,1.26,1.01,113.37,118.68,124.00
September,99.68,1.05,1.04,1.51,1.01,158.07,165.48,172.89
October,110.86,1.15,1.02,1.39,1.01,175.69,183.94,192.19
November,97.24,1.00,1.02,1.05,1.01,106.45,111.41,116.37
December,99.18,1.10,1.05,1.19,1.01,135.19,141.53,147.87
,,,,,,,,
====================,,,,,,,,
FORECAST RESULTS,,,,,,,,
====================,,,,,,,,
Month,2024 Queries,Conservative,Moderate,Ambitious,Conservative YoY,Moderate YoY,Ambitious YoY,
January,124.85,173.82,182.01,190.20,39.2%,45.8%,52.3%,
February,98.80,159.63,167.12,174.61,61.6%,69.2%,76.7%,
March,99.09,158.92,166.37,173.82,60.4%,67.9%,75.4%,
April,92.34,142.66,149.35,156.04,54.5%,61.7%,69.0%,
May,86.94,144.58,151.36,158.14,66.3%,74.1%,81.9%,
June,82.80,123.38,129.15,134.92,49.0%,56.0%,63.0%,
July,86.15,121.05,126.72,132.39,40.5%,47.1%,53.7%,
August,92.83,113.37,118.68,124.00,22.1%,27.9%,33.6%,
September,99.68,158.07,165.48,172.89,58.6%,66.0%,73.4%,
October,110.86,175.69,183.94,192.19,58.5%,66.0%,73.4%,
November,97.24,106.45,111.41,116.37,9.5%,14.6%,19.7%,
December,99.18,135.19,141.53,147.87,36.3%,42.7%,49.1%,
Average,97.56,142.73,149.43,156.12,46.3%,53.2%,60.1%,
